count,full_price,area,pv,overprice,pv+overprice,number,project_name,preset
58,7098000,49.14,1426698.0,1034124.0,2460822.0,236,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4105cde8.png
59,7196933,49.07,1446583.53,1141695.0,2588278.53,241,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a423d8ccd.png
60,7196933,49.07,1446583.53,1141695.0,2588278.53,246,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a423d8ccd.png
61,7196933,49.07,1446583.53,1141695.0,2588278.53,251,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a423d8ccd.png
62,9423267,64.74,1894076.67,1434351.0,3328427.67,253,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a42834939.png
63,7196933,49.07,1446583.53,1141695.0,2588278.53,256,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a423d8ccd.png
64,7196933,49.07,1446583.53,1141695.0,2588278.53,261,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a423d8ccd.png
65,7402933,48.99,1487989.53,1357567.0,2845556.53,266,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4362c865.png
66,7402933,48.99,1487989.53,1357567.0,2845556.53,271,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4362c865.png
67,7402933,48.99,1487989.53,1357567.0,2845556.53,276,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4362c865.png
68,6781944,48.83,1363170.74,756322.0,2119492.74,279,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ac8743a1c.png
69,6555556,47.2,1317666.76,731076.0,2048742.76,281,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acc5a762b.png
70,6690133,47.04,1344716.73,885397.0,2230113.73,286,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acca44215.png
71,6763889,48.7,1359541.69,754309.0,2113850.69,288,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3accc32a8e.png
72,6784622,48.08,1363709.02,851550.0,2215259.02,289,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3aced85bf2.png
73,6734000,46.62,1353534.0,981092.0,2334626.0,291,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acefaee87.png
74,6729667,46.59,1352663.07,980461.0,2333124.07,296,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acf7371c5.png
75,6807200,48.24,1368247.2,854384.0,2222631.2,298,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ad345e1e9.png
76,6784622,48.08,1363709.02,851550.0,2215259.02,299,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3aced85bf2.png
77,6734000,46.62,1353534.0,981092.0,2334626.0,301,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acefaee87.png
78,6807200,48.24,1368247.2,854384.0,2222631.2,308,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ad345e1e9.png
79,6784622,48.08,1363709.02,851550.0,2215259.02,309,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3aced85bf2.png
80,6807200,48.24,1368247.2,854384.0,2222631.2,318,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ad345e1e9.png
81,6784622,48.08,1363709.02,851550.0,2215259.02,319,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3aced85bf2.png
82,6837600,46.62,1374357.6,1084692.0,2459049.6,321,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acefaee87.png
83,6833200,46.59,1373473.2,1083994.0,2457467.2,326,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3acf7371c5.png
84,6807200,48.24,1368247.2,854384.0,2222631.2,328,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ad345e1e9.png
85,6890033,48.07,1384896.63,958195.0,2343091.63,329,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add64e491.png
86,6827333,46.55,1372293.93,1083063.0,2455356.93,331,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add921587.png
87,6821467,46.51,1371114.87,1082133.0,2453247.87,336,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ade0a96c8.png
88,6902933,48.16,1387489.53,959989.0,2347478.53,338,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ade352e28.png
89,6890033,48.07,1384896.63,958195.0,2343091.63,339,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add64e491.png
90,6827333,46.55,1372293.93,1083063.0,2455356.93,341,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add921587.png
91,6792133,46.31,1365218.73,1077479.0,2442697.73,346,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3aea5d1475.png
92,6902933,48.16,1387489.53,959989.0,2347478.53,348,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ade352e28.png
93,6890033,48.07,1384896.63,958195.0,2343091.63,349,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add64e491.png
94,6827333,46.55,1372293.93,1083063.0,2455356.93,351,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3add921587.png
95,6902933,48.16,1387489.53,959989.0,2347478.53,358,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3ade352e28.png
